"id","weight40","sex","Cluster","Cluster_labels"
824072000,0.651984393596649,0,1,"Persistent Single"
824099000,0.618753671646118,0,2,"Early Family Formation"
824171000,0.250329256057739,0,1,"Persistent Single"
825243000,0.313794523477554,0,5,"Delayed Union Formation"
825749000,0.779122233390808,0,1,"Persistent Single"
825962000,0.5499027967453,1,3,"Stable Married, One Child"
825996000,0.367933809757233,0,1,"Persistent Single"
826030000,0.301217436790466,0,5,"Delayed Union Formation"
826433000,0.260434836149216,0,2,"Early Family Formation"
828251000,0.259364902973175,1,3,"Stable Married, One Child"
828309000,1.05523025989532,0,4,"Late & Diverse Transitions"
828883000,0.748502016067505,0,4,"Late & Diverse Transitions"
829122000,0.34461122751236,0,1,"Persistent Single"
829786000,0.768209874629974,0,1,"Persistent Single"
829873000,0.326296210289001,0,1,"Persistent Single"
830184000,0.250362366437912,1,4,"Late & Diverse Transitions"
832597000,0.410493791103363,1,1,"Persistent Single"
834463000,0.291067063808441,1,1,"Persistent Single"
835148000,0.258613973855972,1,4,"Late & Diverse Transitions"
835311000,0.240589171648026,0,4,"Late & Diverse Transitions"
835831000,0.285811454057693,1,2,"Early Family Formation"
836055000,1.30062305927277,0,2,"Early Family Formation"
837154000,0.403332054615021,1,3,"Stable Married, One Child"
838663000,0.385113388299942,0,2,"Early Family Formation"
840612000,1.5971372127533,1,5,"Delayed Union Formation"
841492000,0.503706157207489,1,3,"Stable Married, One Child"
841722000,0.356279999017715,0,2,"Early Family Formation"
842813000,4.02600431442261,1,2,"Early Family Formation"
842895000,0.23676635324955,1,1,"Persistent Single"
843064000,0.251280546188354,0,4,"Late & Diverse Transitions"
843134000,0.614819049835205,0,5,"Delayed Union Formation"
844891000,0.689572930335999,1,1,"Persistent Single"
845051000,0.317655622959137,1,5,"Delayed Union Formation"
845124000,1.09061789512634,0,2,"Early Family Formation"
845366000,0.281333148479462,0,2,"Early Family Formation"
845499000,0.325506597757339,1,4,"Late & Diverse Transitions"
846003000,0.471367657184601,0,3,"Stable Married, One Child"
846592000,0.220477521419525,1,1,"Persistent Single"
846815000,1.09232497215271,1,1,"Persistent Single"
847484000,0.245331436395645,0,3,"Stable Married, One Child"
847729000,0.774257123470306,1,4,"Late & Diverse Transitions"
848205000,0.880895674228668,1,4,"Late & Diverse Transitions"
849268000,1.40846431255341,0,2,"Early Family Formation"
849817000,0.417387008666992,0,4,"Late & Diverse Transitions"
849933000,0.26622673869133,0,1,"Persistent Single"
850569000,0.25748199224472,1,5,"Delayed Union Formation"
851008000,0.785333573818207,1,1,"Persistent Single"
851474000,0.25408947467804,0,2,"Early Family Formation"
851649000,0.642486870288849,0,1,"Persistent Single"
853045000,7.65987491607666,0,4,"Late & Diverse Transitions"
855248000,1.63552415370941,1,4,"Late & Diverse Transitions"
856181000,0.796417593955994,0,4,"Late & Diverse Transitions"
856208000,0.433670848608017,1,3,"Stable Married, One Child"
856219000,0.632667899131775,0,1,"Persistent Single"
856574000,0.521524667739868,1,1,"Persistent Single"
857891000,0.247035071253777,1,3,"Stable Married, One Child"
858036000,1.65037035942078,1,4,"Late & Diverse Transitions"
858357000,0.614472031593323,1,5,"Delayed Union Formation"
858866000,0.729704320430756,0,2,"Early Family Formation"
859355000,0.240712210536003,1,1,"Persistent Single"
859973000,0.259751886129379,1,4,"Late & Diverse Transitions"
860021000,0.591907322406769,1,1,"Persistent Single"
860171000,0.594271540641785,1,4,"Late & Diverse Transitions"
860316000,0.264855653047562,0,3,"Stable Married, One Child"
861339000,0.825964272022247,1,1,"Persistent Single"
863406000,0.374960690736771,0,1,"Persistent Single"
864163000,0.382579624652863,1,4,"Late & Diverse Transitions"
864258000,0.757391810417175,1,2,"Early Family Formation"
864307000,0.251041442155838,1,1,"Persistent Single"
864680000,4.15421962738037,0,4,"Late & Diverse Transitions"
865625000,0.725314140319824,0,2,"Early Family Formation"
865689000,0.865669250488281,0,2,"Early Family Formation"
866060000,0.292498350143433,0,3,"Stable Married, One Child"
866282000,1.35978531837463,0,3,"Stable Married, One Child"
866356000,0.407461911439896,1,3,"Stable Married, One Child"
866677000,1.13315665721893,0,2,"Early Family Formation"
866692000,0.280223369598389,0,3,"Stable Married, One Child"
868114000,0.271970868110657,0,1,"Persistent Single"
