city_id,city,country_code,country_name,continent,1980-1982,1983-1985,1986-1988,1989-1991,1992-1994,1995-1997,1998-2000,2001-2003,2004-2006,2007-2009,2010-2012,2013-2014
Kanigiri_IN,Kanigiri,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,Medium,High,Medium
Kanjirapalli_IN,Kanjirapalli,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low
Kankauli_IN,Kankauli,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,Low,Very Low,No patents,No patents
Kannad_IN,Kannad,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,Very Low,Very High
Kannauj_IN,Kannauj,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low
Kanpur_IN,Kanpur,IN,India,Asia,Very Low,Very Low,No patents,No patents,Low,No patents,Very Low,High,Very High,High,Very High,Very High
Kanthi_IN,Kanthi,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,Medium,Low
Kapadvanj_IN,Kapadvanj,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,Very Low,Low,Very High
Kapasan_IN,Kapasan,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents,No patents,No patents
Kapurthala_IN,Kapurthala,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,High
Karabük_TR,Karabük,TR,Turkey,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents,No patents
Karacabey_TR,Karacabey,TR,Turkey,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents
Karacasu_TR,Karacasu,TR,Turkey,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents
Karad_IN,Karad,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,Medium,Medium
Karaikal_IN,Karaikal,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents,No patents
Karaikkudi_IN,Karaikkudi,IN,India,Asia,No patents,Very High,No patents,No patents,No patents,No patents,High,Very High,Medium,No patents,No patents,High
Karaisali_TR,Karaisali,TR,Turkey,Asia,No patents,No patents,No patents,Very Low,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents
Karaman_TR,Karaman,TR,Turkey,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents,No patents,No patents
Karamanmaraş Merkezi_TR,Karamanmaraş Merkezi,TR,Turkey,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents,Medium,High
Karamay_CN,Karamay,CN,China,Asia,No patents,No patents,Low,Medium,High,High,High,High,Very High,Very High,Very High,Very High
Karamürsel_TR,Karamürsel,TR,Turkey,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium
Karanja_IN,Karanja,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low
Karanpur_IN,Karanpur,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents
Karapınar_TR,Karapınar,TR,Turkey,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low
Karauli_IN,Karauli,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low
Karayazı_TR,Karayazı,TR,Turkey,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents
Karchana_IN,Karchana,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents,Very Low,No patents
Kargı_TR,Kargı,TR,Turkey,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents
Karimganj_IN,Karimganj,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,Low,Very Low
Karimnagar_IN,Karimnagar,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,High,High,Medium,High
Karjat_IN,Karjat,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,Medium
Karkal_IN,Karkal,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,Very Low,Medium
Karmal_IN,Karmal,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents
Karnal_IN,Karnal,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,Medium,Low,Medium,High,High
Karnaprayag_IN,Karnaprayag,IN,India,Asia,No patents,No patents,No patents,No patents,Very Low,No patents,No patents,No patents,No patents,No patents,No patents,Very Low
Karsog_IN,Karsog,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low
Karunagapalli_IN,Karunagapalli,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,High
