"activity1","activity13","activity25","activity37","activity49","activity61","activity73","activity85","activity97","activity109","activity121","activity133","activity145","activity157","activity169","activity181","activity193","activity205","activity217","activity229","activity241","activity253"
"EDU","EDU","FT","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","FT","FT","UNEMP","FT","UNEMP","UNEMP","FT","UNEMP","UNEMP","FT","FT","FT"
"EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","EDU","EDU","EDU","EDU","EDU","EDU","PT","PT","PT","PT"
"EDU","EDU","EDU","EDU","EDU","EDU","FT","UNEMP","FT","FT","PLEAVE","PLEAVE","PLEAVE","MARGINAL","MARGINAL","PT","PT","PT","PT","PT","PT","UNEMP"
"EDU","EDU","EDU","EDU","MIL/CS","EDU","EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","EDU","EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","PLEAVE","PLEAVE","PLEAVE","PT","PT","PT","PT","PT","PT"
"EDU","EDU","FT","FT","MIL/CS","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","UNEMP","PLEAVE","PLEAVE","PLEAVE","UNEMP","UNEMP","UNEMP","PLEAVE","PLEAVE","PLEAVE","UNEMP","UNEMP","UNEMP","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","MIL/CS","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","SELF","SELF"
"EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","SELF","SELF","SELF","PLEAVE","SELF","FT","FT","SELF","SELF"
"FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","PLEAVE","PLEAVE","PLEAVE","MARGINAL","MARGINAL"
"EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","PLEAVE","FT","FT","FT","FT"
"EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","SELF","SELF","PT","PT","PT","PLEAVE","PLEAVE"
"EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","EDU","EDU","EDU","EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","EDU","MIL/CS","EDU","EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","EDU","EDU","MARGINAL","EDU","EDU","EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","EDU","FT","MIL/CS","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","EDU","FT","FT","FT","PLEAVE","MARGINAL","MARGINAL","FT","FT","FT","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PT","PT","PT","PT","PT"
"EDU","EDU","EDU","EDU","EDU","EDU","EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"FT","FT","FT","FT","FT","FT","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PT","PT","PT","PT","PT","PT","PLEAVE","PLEAVE","PLEAVE","PT","PT"
"EDU","EDU","EDU","MIL/CS","MIL/CS","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT","FT"
"EDU","EDU","FT","FT","FT","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PLEAVE","PT"
